start	end	text
197860	202860	он выкидывает эти 3 свободных времени, где они просто выкидываются в виде кнопок.
202860	211860	Ну, допустим, с 18 до 19, с 19, 30 до 21, и с 22 до еще куда-то.
211860	214860	Но в виде предложения сыграть с кем-то?
214860	220860	Сначала он выкидывает в виде предложения просто поиграть в это время.
220860	223860	Если тебе это время подходит, ты просто...
223860	227860	И он тут же пишет, что если вам это время подходит, я вам соберу игру.
227860	228860	Да.
228860	230860	Ты кнопкой нажимаешь.
230860	231860	Предлагает игроков.
231860	232860	Да.
232860	236860	Отсюда, кто нажал, он бот сразу собирает информацию, кто нажал.
236860	240860	Он может спросить его, хочешь игрока посильнее или послабже себе?
240860	242860	Нет, он должен даже не так.
242860	245860	Он должен сразу набирать игроков по рейтингу.
245860	256860	То есть, если у меня рейтинг, допустим, адванс, я нажимаю, он тут же собирает от таких же адвансов, как я.
256860	258860	Тоже, кто желает на это время.
258860	259860	Да.
259860	262860	И сразу же собирает четверку, тут же мне выкидывают.
262860	263860	Я собрал вам четверку.
263860	265860	Сергей, Петя, Вася, Артур.
265860	271860	Если меня все устраивает, я просто с следующим нажатием кнопки подтверждаю и так же ее оплачиваю.
271860	273860	Надо, чтобы они время до этого согласовали.
273860	276860	Но вначале один должен подтвердить, потом двое должны подтвердить.
276860	282860	То есть, каждому будет предлагаться прошлый игрок, кто уже подтвердил и готов на это время.
282860	294860	Я думаю, что при большом количестве игроков в нашем распоряжении, допустим, у нас на данный момент в нашем клубе, в нашей группе около 500 человек.
294860	295860	Да.
295860	298860	Просто, если кто не подтвердил, мы же не можем его рекомендовать, чтобы он готов.
298860	299860	Понимаешь?
299860	302860	Получается, надо как-то подумать, как это правильно сделать.
302860	305860	Смотри, это время по кнопкам приходит всем 400 игрокам.
305860	308860	Все видят, мне пришло время с 18 для этого.
308860	310860	Здесь как действует работа?
310860	316860	Я нажимаю на эту кнопку, ты нажал, еще кто-то нажал, он сразу же эту всю информацию понял.
316860	327860	Первые четыре человека, которые первые нажали, первые одной категории, он тут же выкидывает эту игру, чтобы мы ее просто подтвердили.
327860	331860	То есть, мне пришла, я смотрю, а, все, мне подтверждена игра, четыре человека есть.
331860	336860	Я вторым нажатием просто подтверждаю, и все, слот продан.
336860	337860	То есть, это как на аукционе.
337860	338860	Да, да.
338860	339860	Кто быстрее, то ты прав.
339860	345860	Если кто-то, если бигинеры первые подтверждают, это значит, бигинерам получается игра отходит.
345860	353860	Если еще, он сам должен сортировать бот, и по быстроте реакции он просто собирает игру, тут же бах, игра есть, все.
353860	359860	Мы одновременно подтверждая, тут же выскакивает кнопка оплатить, следующей кнопкой оплачиваем, и все.
359860	366860	Игра создана, игра создана, не надо мне звонить Пете, Вася, а ты можешь, не можешь, а ты можешь востоком можешь, а ты можешь востоком можешь.
366860	368860	Это очень сложная задача.
368860	369860	Да.
369860	372860	Если бот это будет делать, что мы добьемся этим?
372860	380860	Мы добьемся того, что клуб, корты, сколько бы их ни было, они будут постоянно заполнены, и не будет никаких окошек.
380860	383860	У нас будет 100% заполняемость на все времена.
383860	384860	Да.
384860	386860	Это очень круто.
386860	389860	А сейчас на сколько процент заполняемости?
389860	395860	Сейчас, допустим, низкий сезон, и упала заполняемость.
395860	396860	Сколько?
396860	397860	Какой процент примерно?
397860	399860	Я думаю, сейчас процентов 60.
399860	401860	60, но это все равно высокий процент.
401860	402860	Усокий процент, довольно.
402860	404860	А сезон 100 бывает, что вообще все занято?
404860	405860	Да.
405860	414860	Сейчас сезон, мы зарабатывали в месяц 650 тысяч батов, это было полностью все занято, все корты были заняты.
414860	416860	Но, в чем ситуация?
416860	419860	В том числе сейчас корты растут, и появится конкуренция.
419860	420860	Да.
420860	421860	Она уже появилась.
421860	422860	Конечно.
422860	423860	Я видел, там строят.
423860	426860	Я, кстати, проезжал, так и сказал, я такой смотрю, его строят по одному уже.
426860	433860	И тогда будет зарабатывать только тот, кто сможет создавать эти игры и полностью закрывать.
433860	438860	Потому что, в основном, основная беда, это то, что люди стесняются, они создают эту игру.
438860	445860	А мы сделаем их партнерами, мы их подключим к CTX нашу, скажут, давайте, мы же можем соревнования проводить, матчи, товарские игры.
445860	450860	Соревнования, да, матчи, это все, все эти движения можно производить.
450860	460860	Плюс мы создадим общую систему, где люди за каждую игру, такую созданную ботом, поиграв ее, там будет распределение, кто с кем играет и как играет.
460860	472860	Записав результат, будут получать очки, которые впоследствии будут им, ими использованы в той же, по плате или там, в получении, не знаю, каких-то бонусов.
472860	473860	Это все можно продумать.
473860	481860	У них будет общий рейтинг, где они будут стоять на каких-то местах, они будут бежать, должны бежать просто на игры.
481860	485860	Потому что каждой игрой они будут получать рейтинг, плюс им будет просто интересно.
485860	490860	Я говорю, сейчас я работаю тренером, и я просто вижу, насколько они мне звонят.
490860	494860	Сделай мне нам игру, собери нам людей, понимаешь?
494860	505860	Я занимаюсь тем, что я, блин, начинаю звонить, собирать игры, и это, ну, это трудоемко, и не всегда получается, как хочется.
505860	508860	Потому что я же не могу 400 человек обзвонить.
508860	513860	Ну, понятное дело, конечно, я бы столько задач не мог решить.
513860	519860	И еще, еще важно то, что, допустим, сейчас у нас есть группа, где в этой группе иногда выкидывают люди игры.
519860	524860	Но моя ставка на то, чтобы это приходило прямо лично тебе, чтобы никто не видел.
524860	526860	А он еще в год может писать? Сам в год может писать?
526860	531860	Так, вот смотрите, у нас есть такие, прямо, подогревать игроков, чтобы они начали в группе общаться, чтобы там движуха была.
531860	537860	Именно подогревать, именно подогревать игроков, писать им прямо, чтобы мне пришло там, там, уважаемый, сервис.
537860	542860	Сергей, блин, вот есть, короче, игра такая-то, такая-то, поучаствуйте.
542860	544860	Смотри, как изменилась моя жизнь.
544860	548860	Вот это вот, это сайт разработчиков.
548860	553860	Вот это вот окна, как у тебя там, Теннесси, окошечки, видишь.
553860	559860	Ну это, это окошечки, видишь, чем зеленее, тем интенсивней.
559860	561860	Вот тут я на чили вообще месяц не работал.
561860	563860	Да, то есть вообще ничего не делал.
563860	566860	И смотри, с появлением я агентов, как изменилась моя жизнь.
566860	568860	Смотри, с какой скоростью начал разрабатывать.
568860	571860	Это появились в январе, появились я агенты у меня.
571860	573860	Видишь, какая насыщенность.
573860	574860	И что это получается?
574860	576860	Это очень много кода я стал писать.
576860	578860	То есть очень высокая насыщенность.
578860	583860	То есть, видишь, 14 атрибутов за день, 23, там, комментария, решенные задачи.
583860	585860	Там 23 задачи, условно говоря, да, кстати, за день.
585860	587860	45 задач за день.
587860	591860	А вот сейчас смотри, 95 задач за день.
591860	592860	За день.
592860	593860	Сколько у них?
593860	594860	2 выросли?
594860	595860	Да.
595860	596860	Уже.
596860	598860	А я здесь 2 компьютера подключил.
598860	599860	Кстати, вот эти последние дни.
599860	601860	Сейчас еще больше задач будет.
601860	603860	Вот тут по 3 задачи.
603860	607860	43, 21, 37 задач.
607860	609860	Но тут 2 компьютера стало работать.
609860	611860	Сразу видишь, сколько задач больше стало?
611860	613860	95 задач.
613860	616860	Уж 2 компьютера подключил.
616860	618860	Так вот, окошки.
618860	619860	Все к чему.
619860	621860	О них может параллельно работать.
621860	623860	Так твой центр вообще быстро может быть настроен.
625860	626860	И все.
626860	627860	Поэтому почему?
627860	629860	Сейчас клубов много появляется.
629860	631860	Будет среди них конкуренция.
631860	634860	Будут те заполняться, которые будут заполняться.
634860	635860	И агенты.
635860	636860	Конечно.
636860	638860	И я думаю, что наш продул будет настолько быстрее,
638860	639860	что не просто.
639860	642860	Ну, грубо говоря, допустим, в Дубае сейчас 500 клубов.
642860	643860	Да во всеми продавайте.
643860	646860	Сейчас везде, везде эти клубы растут.
646860	647860	Падал.
647860	648860	Почему еще я ставлю на это ставку?
648860	650860	Потому что падал очень сильно развивается.
650860	651860	Очень мощно развивается.
651860	654860	И он только в начале в некоторых странах идти.
654860	655860	Например, в Азии еще.
655860	659860	Я был недавно в Южной Корее, в Сеуле.
659860	661860	Там только один клуб.
661860	662860	Представляешь?
662860	663860	Только один клуб.
663860	664860	У них будет куча клубов.
664860	665860	Так же Россия, Украина.
665860	666860	Все.
666860	667860	Везде.
667860	668860	Европа.
668860	669860	Везде.
669860	671860	Они в принципе только на начальной стадии.
671860	672860	Клубы будут.
672860	674860	Ну, в каждом районе будут нужны клубы.
674860	677860	И чтобы этими клубами управлять, чтобы создавать игры,
677860	679860	особенно для начинающих.
679860	680860	Особенно для начинающих.
680860	683860	Потому что люди, которые уже давно, допустим, как я,
683860	684860	мне легче.
684860	687860	Я могу понять, я знаю уже людей, у меня есть опыт, как это сделать.
687860	691860	А люди, которые только попали в игру, они очень хотят играть.
691860	694860	Они тренируются и они хотят прям играть.
694860	695860	Им игру все зло создать.
695860	697860	С ними никто не хочет играть с начинающими.
697860	699860	С ними только играют такие же, как они.
699860	702860	А такие же, как они, тоже не могут создать игру.
702860	708860	Поэтому задача нашего бота создавать игру для начинающих и средних игроков.
708860	711860	Они очень благодарны в этом плане.
711860	712860	Они очень хотят играть.
712860	715860	И они будут участвовать в этом.
715860	718860	Да, будет так.
718860	720860	На игручки немножко.
720860	723860	О, класс.
723860	726860	Так.
726860	733860	Вот, теперь, ну и попутно, что еще, что я еще считаю большим плюсом в наше это.
733860	734860	У нас сейчас есть клуб.
734860	736860	У нас сейчас есть сотрудники в этом клубе.
736860	738860	У нас сейчас есть клиенты в этом клубе.
738860	743860	Мы можем создать идеального бота в плане того, что у нас будет всегда обратная связь.
743860	745860	Но мы будем видеть это.
745860	751860	Мы можем от клиента получать постоянно обратную связь и видеть, как это должно работать, как это должно двигаться.
751860	756860	И исправлять, под них постоянно подстраивать и сделать идеальное приложение.
756860	758860	Которые будут устраивать всех.
758860	762860	И акционеров, и администраторов, и клиентов.
762860	763860	Да.
763860	768860	И когда мы это сделаем идеально, мы тогда, ну, эту франчизу мы можем просто распространять.
768860	778860	Да, поэтому мы возьмем это техническое задание, проработаем детально, расставим roadmark, что последовательно будет внедряться.
778860	783860	И не будем пытаться сразу сделать все вот это вот, и потом начать продавать.
783860	784860	Нет.
784860	785860	Мы начнем.
785860	788860	Одну задачу сделали, все начали тестировать, все внедрять.
788860	790860	Вторую задачу сделали, все начали тестировать, внедрять.
790860	795860	И тогда все у нас понятно, что один агент работает, столько задач решает.
795860	798860	Два агента работают, больше задач решается.
798860	799860	Все.
799860	804860	Мы просто как масштабируемся, исходя из вообще потребностей бизнеса и двигаемся.
805860	806860	Да.
808860	809860	Вот.
809860	810860	Плюс финансовая часть.
810860	815860	Потому что сейчас, допустим, в том же Таиланде, сейчас у нас здесь, вот, с налогами всякие запросы.
815860	819860	Я понимаю, что если это платить в Телеграме, в Телеграм-кошелька.
819860	823860	А мы можем сделать фирменный аккаунт на Телеграм-кошельке?
823860	824860	Да, конечно.
824860	828860	Там смотри, можно, есть у Телеграма, Тон, этот фрагмент.
828860	833860	Там на фрагменте можно создать, номер купить, короче, их, типа IP-номер.
833860	834860	Да, знаю, знаю.
834860	839860	Все, и на него регаешься, получается, на этот IP-номер регаешь этот Телеграм.
840860	841860	Все.
841860	845860	Кому нужно доступ раздавить в безопасность, в факторе нотификации Телеграм устраивается.
845860	848860	То есть мы акционеры, допустим, у нас там четверо человек.
848860	851860	Мы можем иметь этот аккаунт.
851860	852860	На фрагменте.
852860	853860	Иметь кошелек.
853860	854860	Да, да, да.
854860	857860	И каждый может в него зайти, допустим, там его настроить так, что мы там можем только вместе,
857860	859860	если подписываем там...
859860	860860	А, я могу настроить отдельно.
860860	861860	Это дало вам нужно организовать.
861860	862860	Хочешь, я могу его замутить?
862860	863860	Но это можно тоже сделать.
863860	864860	Конечно, да.
864860	865860	Все можно сделать.
865860	866860	Давай настроить, все, вам помогу.
866860	870860	И тогда у меня бизнес-модель примерно такая в голове нарисовалась.
870860	875860	Вот здесь эта тайская вся вот эта вот фирма Oxygen.
875860	881860	Мы просто берем ее в аренду в другой компании, которая вот на Телеграме.
881860	888860	И просто ей платим каждый месяц столько денег, сколько здесь нужно заплатить зарплат, там налогов каких-то, еще чего-то.
888860	892860	А все остальное садиться на кошелек на Телеграмовский нам прямо.
892860	893860	И все.
893860	894860	Да.
894860	895860	И все.
895860	897860	Я не знаю, для этого нужно компанию организовать под этого бота?
897860	900860	Может быть какую-то компанию, не знаю, в Сингапуре, где нет налогов?
900860	902860	Или как вот это вот еще?
902860	909860	Ну смотри, если будешь, будем принимать в этом, в звездах.
909860	910860	А зачем звездах?
910860	913860	А нельзя просто в USDT на кошелек?
913860	915860	А у них, смотри, какая система.
915860	916860	Они этот Apple ограничил.
916860	918860	То есть мы должны подстраиваться под это.
918860	920860	Нам, конечно, чего-то там хочется.
920860	923860	Но есть ограничения технические, которые не преодолимы силы.
923860	925860	А здесь ограничения технического нет.
925860	930860	Если у меня есть кошелек, я тебе могу USDT переслать на твой кошелек.
930860	934860	Но ты должен оплачивать.
934860	936860	А, если офлайн товар, вообще проблем нет, кстати.
936860	938860	Это же офлайн-встречи.
938860	939860	Да.
939860	940860	То есть поэтому тут проблем нет.
940860	941860	А за онлайн есть ограничения.
941860	944860	А так мы можем чек выставлять просто и все.
944860	951860	Чтобы дать возможность принимать чеки, нужно, чтобы компания была зарегистрирована официально.
951860	952860	Где?
952860	955860	Ну, в Таиланде где-то, где люди проходят, разумеется.
955860	958860	Соответственно, от лица этой компании будет все организовываться.
958860	966860	И так, в том числе, можно и телефон этой компании, в том числе, зарегистрирован, чтобы был на компанию, не на человека.
966860	968860	Тоже.
968860	969860	Хорошо.
969860	971860	Компания, компания, компания.
971860	972860	Да.
972860	973860	Да.
973860	974860	То есть нужно юрлицо.
974860	975860	Иначе так.
975860	977860	Только мы сможем в крипте принимать?
977860	979860	Ну, в крипте и можем принимать.
979860	980860	А что-нибудь почему?
980860	981860	Можем в крипте принимать.
981860	982860	Ну, так и там же легко.
982860	984860	Там в кошелек просто по...
984860	985860	Это...
985860	986860	Ты у тебя...
986860	988860	Телеграм открыл, тебе сразу априори кошелек вынес.
988860	989860	По идее, да.
989860	990860	Мы уже...
990860	992860	В кошельке через карту пополнил USDT.
992860	993860	И USDT заплатил за корт.
993860	994860	Все.
994860	995860	Да, можно.
995860	996860	Да, можно.
996860	997860	Все.
997860	998860	Кто ничего не видел.
998860	999860	Прямо с кошелька на телеграм.
999860	1000860	Конечно.
1000860	1001860	С кошелька на кошелек.
1001860	1002860	Да.
1002860	1003860	А никто не разрешили пока только, кстати.
1003860	1005860	А то уже можно в USDT перевести.
1005860	1006860	А никто не разрешили недавно.
1006860	1008860	В прошлом месяце.
1008860	1011860	Так ты покупаешь прямо карты.
1011860	1012860	Вот ты открываешь кошелек.
1012860	1013860	Я же знаю, как там пополнять.
1013860	1015860	Там либо через P2P можешь пополнить.
1015860	1017860	Либо просто карты любой.
1017860	1018860	Купить себе.
1018860	1019860	Да, я знаю.
1019860	1020860	Что хочешь в USDT.
1020860	1023860	И потом ты, допустим, имеешь наш этот.
1023860	1025860	Ты можешь просто платить в USDT.
1025860	1026860	Все цены можем перевести в USDT.
1026860	1027860	И все.
1027860	1028860	Да, да, да.
1028860	1029860	И все.
1029860	1030860	Да.
1030860	1031860	Ну мы сделаем разные.
1031860	1033860	Во-первых, ты можешь, получается, в Тоне.
1033860	1034860	Нет, там USDT нельзя пока.
1034860	1036860	В Телеграме нельзя, запрещено.
1036860	1037860	Только пока в Тоне разрешили.
1037860	1041860	Но я тебе могу USDT перевести с Телеграма на твой кошелек?
1041860	1042860	Да, можешь.
1042860	1044860	Но нам же нужно автоматизацию сделать.
1044860	1046860	Внутри тона, чтобы приложение было для большого количества людей.
1046860	1047860	Да.
1047860	1048860	И не вручную.
1048860	1049860	Вручную, так, понятное дело, можно все перевести.
1049860	1050860	Но на роботов надо подключить же.
1050860	1051860	А роботов?
1051860	1052860	Роботов не будут?
1052860	1053860	Нет, конечно.
1053860	1054860	Не надо.
1054860	1056860	Нам только через Тон надо, может, разрешают.
1056860	1058860	Не, мы можем палевно, как сейчас, делать.
1058860	1061860	Но это как бы временное ограничение, что можно делать
1061860	1062860	это неофициально.
1062860	1063860	Понимаешь?
1063860	1066860	Ну тогда как бы вопрос уже как этот уже.
1066860	1069860	То, что могут прийти спросить за это.
1069860	1070860	Понимаешь?
1070860	1071860	Вот.
1071860	1072860	Поэтому зачем?
1072860	1073860	Все.
1073860	1075860	В Тон можно принимать.
1075860	1076860	Все.
1076860	1077860	В Тон USDT.
1077860	1078860	Они пока оплачивают.
1078860	1079860	USDT.
1079860	1080860	Они скоро отдавают все, что внутри.
1080860	1083860	Там же есть USDT, кстати, есть на Тони.
1083860	1084860	В том числе.
1084860	1085860	Да.
1085860	1088860	Ну просто пока оплату они только в Тони принимают.
1088860	1089860	Разрешили официально.
1089860	1090860	Ну скоро и все остальные.
1090860	1091860	Альткоины.
1091860	1093860	Свой токен нужно запустить под этот проект, кстати,
1093860	1095860	инвестиции привлечь и сразу большие бабки поднять.
1095860	1096860	Это вот.
1096860	1098860	Потому что если у нас будет MVP, мы делаем упаковку, привлекаем
1098860	1099860	инвестиции для запуска этого токена.
1099860	1100860	И все.
1100860	1103860	И у нас сразу же и клиенты, и реклама для того, чтобы
1103860	1104860	этот проект расфорсить и сделать его.
1104860	1105860	Это сеть большая клубок.
1105860	1106860	Мы запускаем свой токен.
1106860	1107860	Все.
1107860	1108860	Токен.
1108860	1109860	Да.
1109860	1110860	Токен.
1110860	1111860	Падл World Club.
1111860	1112860	Между всеми этими клубами.
1112860	1113860	Падл Коин.
1113860	1114860	Надо делать.
1114860	1115860	Да.
1115860	1117860	Потому что миллионы можно заработать за один день,
1117860	1119860	когда выходит токен на бирже.
1119860	1121860	Ну просто к этому дню нужно подготовиться хорошо
1121860	1122860	основательно.
1122860	1123860	Вот так и надо делать.
1123860	1126860	Это в принципе вот такая вот есть токен.
1126860	1127860	Да.
1127860	1129860	Потому что на одном центре это ну долго зарабатывать
1129860	1130860	миллионы.
1130860	1131860	Это на одном падлу.
1131860	1132860	Вот.
1132860	1133860	Нет.
1133860	1134860	Вообще какие миллионы.
1134860	1136860	Именно был смысл в том, чтобы сделать сетку.
1136860	1137860	Да.
1137860	1138860	Я давно уже это понял.
1138860	1139860	Что сетку.
1139860	1140860	Я хочу сетку.
1140860	1141860	Я уже два года сетку.
1141860	1142860	В голове своей.
1142860	1143860	Сетка у тебя.
1143860	1144860	У тебя сетка перед глазами постоянно.
1144860	1145860	Постоянно.
1145860	1146860	Да.
1146860	1147860	Постоянно.
1147860	1148860	У меня постоянно.
1148860	1149860	Я вот когда в Сеул поехал два года назад.
1149860	1150860	Посмотрел, что там нету клубок.
1150860	1151860	Я понял.
1151860	1152860	Надо сетку делать.
1152860	1154860	Но у меня не было вот инструментов.
1154860	1155860	Сетку.
1155860	1156860	За сетку.
1156860	1157860	За сетку.
1157860	1158860	Делаем сетку.
1158860	1159860	По-любому.
1159860	1160860	Ммм.
1160860	1161860	Перец.
1161860	1162860	Я тоже только завтра.
1162860	1163860	Приятного аппетита.
1163860	1164860	Приятного аппетита.
1164860	1165860	Приятного аппетита.
1165860	1166860	Приятного аппетита.
1166860	1167860	За сетку.
1167860	1168860	За сетку.
1168860	1169860	Делаем сетку по-любому.
1169860	1170860	Семь, стюдень.
1170860	1171860	Сейчас есть.
1171860	1172860	Ммм.
1172860	1173860	А у меня есть перец.
1173860	1174860	по-любому.
1174860	1175860	Ммм.
1177860	1178860	А у меня есть перец.
1178860	1179860	Делаем сетку.
1179860	1180860	Все.
1180860	1181860	Ммм.
1181860	1182860	Попривая.
1182860	1183860	Ммм.
1184860	1186860	Еще только завтра.
1186860	1187860	Ммм.
1187860	1190860	Я тоже только завтра было.
1190860	1191860	Мощно.
1195860	1196860	Ммм.
1196860	1226840	Субтитры сделал DimaTorzok
1226860	1256840	Субтитры сделал DimaTorzok
